,,,,,,
source_idx,destination_idx,class,observation,Cost,Cost/dist,
"-7023720, 5817006","-7022809, 5816418",Class 2 Rank 5,Road - city block,907.674,0.425938057250117,
"-7039964.4, 5816866.1",", -7034819.3,  5820936.8",NoRank_Class1 ,Freeway - 27,4678.173,0.211887929834331,
"-7187037.5,  5776624.0, ","-7185313.1, 5777112.1",Rank4_Class1,Freeway - rural lands,785.536,0.628931945556445,
"-7181875.1, 5766055.0","-7183699.0, 5771428.9",Rank4_ClassN,Paved mud road - country side,6821.162,0.79177736506094,
"-7202764, 5793444","-7202356,  5793518",Rank5_ Class2,pedestrian walkway,293.689,0.276543314500942,
",-7418224,  5776741","-7419281, 5778706",Rank4_Class3,Shared bikeway on road,713.92,0.330671607225567,
"-7419649.0, 5777326.6","-7418134.5, 5776645.2",Rank5_ClassN,Shared bikeway on road,587.336,0.508516017316017,
"-7420172.4, 5777935.5, ","-7419778.8, 5778582.2",Rank4_Class1,Shared bikeway on road,137.099,0.260644486692015,
"-7430745, 5765688","-7430555, 5767045",Rank5_NoClass,Country side road,424.094,0.387654478976234,
"-7075798, 5552710","-7073809,  5548844",Rank4_NoClass,Freeway - inside forest,2062.375,2062.375,
"-7077930, 5569196","-7078704, 5567987",Rank4_Class1,Bridge ,249.762,0.214020565552699,
"-7074015, 5566444","-7073547, 5567502",Rank5_Class1,Pedestrian + shared bikeway on road,4043.148,0.40190337972167,
"-7067675.6, 5570002.8","-7068220.2, 5572958.6",Rank4_Class2,pedestrian walkway,990.379,0.352950463292944,
"-7069678, 5563037","-7068477, 5562812",NoRank_ClassN,Forest trail - unpaved,2783.602,0.905236422764228,
"-6995264, 5816241","-6991187, 5809357",NoRank_ClassN,Forest trail - unpaved,5285.933,0.85119694041868,
"-7022934.9, 5812230.1","-7024281.0, 5815172.8",Rank4_NoClass,Countryside road,2170.764,0.583381886589627,
"-7035147, 5849428","-7031965, 5849188",Rank5_ClassN,Single lane road along the shoreline ,1143.682,0.515869192602616,
"-5867949, 6030086","-5862532, 6027064",Rank4_ClassN,Forest trail - unpaved,5035.308,0.692614580467675,
"-6075027, 6215303","-6058331, 6225325",Rank5_ClassN,Hike - upto a lake/mountain,19900.39,1.2814984867023,
"-6190832, 6264752",",-6182904, 6272741",NoRank_ClassN,Hike - to falls ,7176.246,0.951504375497216,
