,,,,,,
source_idx,destination_idx,class,observation,Cost,Cost/dist,
"-8868856, 5464483","-8858630, 5466075",R4C0,Country road -,5361.723,0.68511666240736,
"-10807908, 6429309","-10801031, 6428139",R4C3,Freeway,2737.017,0.42082057195572,
"-10809742, 6372172","-10810989, 6370903",R5C2,Spring road - along farm,905.069,0.572828481012658,
"-10806941, 6375771","-10803255, 6375781",R5C1,Spring road - along farm,999.505,0.418377982419422,
"-11643958, 6520656","-11643546, 6518248",R4C3,Bikeway along trail ,4692.149,0.470626780341023,
"-11608759, 6583508","-11607281, 6577339",R4C0,Sub urban - mud road ,8623.682,2.08200917431193,
"-12058178, 6943687","-12053406, -12053406",R4C2,Pedestrian - unpaved road,2504.34,0.445374355326338,
"-12321337, 6447963","-12321385, 6446319",R4C2,Bikeway - shared city road,702.175,0.426854103343465,
"-12561273, 6391981","-12560760, 6391286",R4C1,trail,633.666,0.610468208092486,
"-12637494, 7072690","-12637952, 7069926",R5C1,City road,634.455,0.376978609625669,
"-13288673.9, 6426791.9","-13285846.3, 6423502.0",R4C1,Freeway,2421.117,0.353499342969777,
"-13676365, 6301219","-13676336,6296398",R5C3,City block,2004.652,0.596622619047619,
"-13679982, 6298678","-13676520, 6298813",R5C0,City block - Avenue,1169.98,0.493246205733558,
"-13731281, 6174625","-13734940, 6176140",R4C2,Bikeway - along beach,1992.626,0.45082036199095,
"-13731656, 6177575","-13728257, 6179035",R4C3,City block,965.68,0.381089187056038,
"-15033790, 8560074","-15033735, 8557919",R5C3,Bikeway - along river unpaved,3451.566,0.6062824521342,
"-15033737, 8564298","-15033342, 8567114",R5C0,Hike,1819.296,1.02380191333709,
"-8872487, 5529656","-8871741, 5530371",R4C3,City block,299.942,0.384048655569782,
