,,,,,,
source_idx,destination_idx,class`,observation,Cost/m,,
3048,3049,Non-comforming,City street : bike path,0.661,,
2623,2624,Medium comfort,City street : bike path,0.917,,
793,794,Non-comforming,Unpaved trail: park (broken path along the same line),0.937,,
1752,1753,Medium comfort,City street,1.028,,
4458,4459,Non-comforming,Roundabout,0.764,,
5086,5087,Non-comforming,Stairway or some sort of spiral lane?,4.189,,
32730,32731,Non-comforming,Pathway - river,0.718,,
9186,9187,Medium comfort,Pathway - trail,0.895,,
3109,3110,Medium comfort,City block,0.892,,
34975,34876,Non-comforming,City junction/intersection,0.858,,
32405,32406,Non-comforming,Roundabout,0.748,,
35265,35266,Non-comforming,University roads,0.651,,
12052,12053,Non-comforming,City block,0.686,,
11997,11998,Non-comforming,Culdesac,0.917,,
9611,9612,Non-comforming,Bus station,0.639,,
1906,1907,Medium comfort,Highway,0.693,,
948,949,Medium comfort,Bridge,0.754,,
1193,1194,Medium comfort,Trail : bikeway,0.771,,
14174,14175,Medium comfort,City block,0.675,,
3181,3182,Non-comforming,Trail : bikeway,1.06,,
9836,9837,Medium comfort,City junction + parkway,0.748,,
6499,6500,Medium comfort,City block,0.952,,
8846,8847,Medium comfort,Trail ,0.690,,
2035,2036,Medium comfort,City junction + parkway,2.54,,
9730,9731,Non-comforming,walkway,1.65,,
36577,36578,Non-comforming,trail,1.055,,
16960,16961,Medium comfort,Roundabout,1.45,,
764,765,Non-comforming,trail,1.13,,
6767,6768,Non-comforming,Bridge,1.36,,
4386,4387,Non-comforming,Bikeway,1.07,,
